,date,adj_close,close,high,low,open,volume,ticker,revenues,cost_of_goods,gross_profit,general/admin_expense,sales_+_marketing_expense,research_&_development,operating_income,interest_income/expense,other_income/expense_net,tax_expense,net_income,earnings_per_share_(basic),earnings_per_share_(diluted),weighted_average_shares,weighted_average_shares_(diluted),cash_and_equivalents,short-term_investments,cash_and_short-term_investments,receivables,inventory,other_current_assets,current_assets,property_plant_&_equipment,tax_assets,long-term_investments,goodwill,other_intangible_assets,goodwill_and_intangible_assets,other_non-current_assets,non-current_assets,other_assets,total_assets,payables,short-term_debt,tax_payables,deferred_revenue,other_current_liabilities,current_liabilities,long-term_debt,deferred_revenue_non-current,deferred_tax_non-current,other_non-current_liabilities,non-current_liabilities,other_liabilities,total_liabilities,common_stock,retained_earnings,accumulated_other_comp._income/loss,other_stockholders_equity,total_stockholders_equity,total_liabilities_&_stockholders_equity,depreciation_and_amortization,deferred_income_tax,stock_based_compensation,change_in_working_capital,accounts_receivables,accounts_payables,otherworkingcapital,other_non_cash_items,cash_flow_from_operating_activities,capital_expenditure,net_acquisitions,purchases_of_investments,other_investing,net_cash_from_investing,debt_repayment,common_stock_issued,common_stock_repurchased,dividends_paid,other_financing_activites,net_cash_from_financing,fx_effect,net_change_in_cash,cash_at_end_of_period,cash_at_start_of_period,ebitda,free_cash_flow,enterprise_valuation,market_capitalization,book_value_per_share,enterprise_value_to_ebitda,free_cash_flow_per_share,price_to_sales,price_to_earnings_ratio,price_to_book_value,price_to_free_cash_flow,earnings_yield,inventory_turnover,current_ratio,debt_to_equity_ratio,ebitda_margin,gross_margin,net_income_margin,dividend_yield,payout_ratio,return_on_assets,return_on_equity,return_on_capital,normalized_close,normalized_net_income,30_DMA,10_Day_Avg,Next_10_Day_Avg,signal,stock_quantity,total_buy_price,stock_profit,cumulative_profit
0,2010-04-01,7.108996868133545,8.427499771118164,8.526070594787598,8.3125,8.478928565979004,603145200.0,AAPL,13499000.0,7874000.0,5625000.0,1220000.0,0.0,426000.0,3979000.0,0.0,50000.0,955000.0,3074000.0,0.11896,0.11896,25840000.0,25840000.0,10018000.0,13137000.0,13137000.0,4629000.0,638000.0,3914000.0,32336000.0,3504000.0,3241000.0,18549000.0,480000.0,343000.0,823000.0,1845000.0,24721000.0,5569000.0,57057000.0,5666000.0,0.0,0.0,2542000.0,5332000.0,12229000.0,0.0,941000.0,1142000.0,2239000.0,5480000.0,2239000.0,17709000.0,9553000.0,29670000.0,125000.0,0.0,39348000.0,57057000.0,216000.0,468000.0,436000.0,-1662000.0,482000.0,-18000.0,20107000.0,234000.0,2330000.0,-650000.0,-325000.0,-9000.0,-16388000.0,-83000.0,1164000.0,534000.0,160000.0,0.0,10169000.0,162000.0,0.0,2409000.0,10018000.0,7609000.0,4245000.0,2029000.0,203069699.52,213087699.52,1.52275541795666,47.8373850459364,0.0785216718266254,15.7854433306171,69.3193557319454,5.41546456033343,105.02104461311,0.0144259852019824,12.3416927899687,2.6442063946357,0.45006099420555,0.314468,15.7854433306171,0.227721,0.0,0.0,0.0546644378845538,0.0781234116092305,0.0898768626751138,0.0002359640074706663,0.0,8.427499771118164,,8.668214321136475,BUY,1.0,8.427499771118164,0.0,0.0
1,2010-04-05,7.184915065765381,8.517499923706055,8.518214225769043,8.384642601013184,8.392143249511719,684507600.0,AAPL,13499000.0,7874000.0,5625000.0,1220000.0,0.0,426000.0,3979000.0,0.0,50000.0,955000.0,3074000.0,0.11896,0.11896,25840000.0,25840000.0,10018000.0,13137000.0,13137000.0,4629000.0,638000.0,3914000.0,32336000.0,3504000.0,3241000.0,18549000.0,480000.0,343000.0,823000.0,1845000.0,24721000.0,5569000.0,57057000.0,5666000.0,0.0,0.0,2542000.0,5332000.0,12229000.0,0.0,941000.0,1142000.0,2239000.0,5480000.0,2239000.0,17709000.0,9553000.0,29670000.0,125000.0,0.0,39348000.0,57057000.0,216000.0,468000.0,436000.0,-1662000.0,482000.0,-18000.0,20107000.0,234000.0,2330000.0,-650000.0,-325000.0,-9000.0,-16388000.0,-83000.0,1164000.0,534000.0,160000.0,0.0,10169000.0,162000.0,0.0,2409000.0,10018000.0,7609000.0,4245000.0,2029000.0,203069699.52,213087699.52,1.52275541795666,47.8373850459364,0.0785216718266254,15.7854433306171,69.3193557319454,5.41546456033343,105.02104461311,0.0144259852019824,12.3416927899687,2.6442063946357,0.45006099420555,0.314468,15.7854433306171,0.227721,0.0,0.0,0.0546644378845538,0.0781234116092305,0.0898768626751138,0.005640914326165258,0.0,8.47249984741211,,8.69885721206665,BUY,2.0,16.94499969482422,0.0,0.0
2,2010-04-06,7.216545581817627,8.555000305175781,8.579999923706055,8.464285850524902,8.507143020629883,447017200.0,AAPL,13499000.0,7874000.0,5625000.0,1220000.0,0.0,426000.0,3979000.0,0.0,50000.0,955000.0,3074000.0,0.11896,0.11896,25840000.0,25840000.0,10018000.0,13137000.0,13137000.0,4629000.0,638000.0,3914000.0,32336000.0,3504000.0,3241000.0,18549000.0,480000.0,343000.0,823000.0,1845000.0,24721000.0,5569000.0,57057000.0,5666000.0,0.0,0.0,2542000.0,5332000.0,12229000.0,0.0,941000.0,1142000.0,2239000.0,5480000.0,2239000.0,17709000.0,9553000.0,29670000.0,125000.0,0.0,39348000.0,57057000.0,216000.0,468000.0,436000.0,-1662000.0,482000.0,-18000.0,20107000.0,234000.0,2330000.0,-650000.0,-325000.0,-9000.0,-16388000.0,-83000.0,1164000.0,534000.0,160000.0,0.0,10169000.0,162000.0,0.0,2409000.0,10018000.0,7609000.0,4245000.0,2029000.0,203069699.52,213087699.52,1.52275541795666,47.8373850459364,0.0785216718266254,15.7854433306171,69.3193557319454,5.41546456033343,105.02104461311,0.0144259852019824,12.3416927899687,2.6442063946357,0.45006099420555,0.314468,15.7854433306171,0.227721,0.0,0.0,0.0546644378845538,0.0781234116092305,0.0898768626751138,0.007892996049893788,0.0,8.5,,8.716892910003661,BUY,3.0,25.5,0.0,0.0
3,2010-04-07,7.248482704162598,8.592857360839844,8.640000343322754,8.523571014404297,8.555356979370117,628502000.0,AAPL,13499000.0,7874000.0,5625000.0,1220000.0,0.0,426000.0,3979000.0,0.0,50000.0,955000.0,3074000.0,0.11896,0.11896,25840000.0,25840000.0,10018000.0,13137000.0,13137000.0,4629000.0,638000.0,3914000.0,32336000.0,3504000.0,3241000.0,18549000.0,480000.0,343000.0,823000.0,1845000.0,24721000.0,5569000.0,57057000.0,5666000.0,0.0,0.0,2542000.0,5332000.0,12229000.0,0.0,941000.0,1142000.0,2239000.0,5480000.0,2239000.0,17709000.0,9553000.0,29670000.0,125000.0,0.0,39348000.0,57057000.0,216000.0,468000.0,436000.0,-1662000.0,482000.0,-18000.0,20107000.0,234000.0,2330000.0,-650000.0,-325000.0,-9000.0,-16388000.0,-83000.0,1164000.0,534000.0,160000.0,0.0,10169000.0,162000.0,0.0,2409000.0,10018000.0,7609000.0,4245000.0,2029000.0,203069699.52,213087699.52,1.52275541795666,47.8373850459364,0.0785216718266254,15.7854433306171,69.3193557319454,5.41546456033343,105.02104461311,0.0144259852019824,12.3416927899687,2.6442063946357,0.45006099420555,0.314468,15.7854433306171,0.227721,0.0,0.0,0.0546644378845538,0.0781234116092305,0.0898768626751138,0.010166497807310187,0.0,8.523214340209961,,8.783392906188965,BUY,4.0,34.092857360839844,0.0,0.0
4,2010-04-08,7.228898048400879,8.569643020629883,8.626428604125977,8.501428604125977,8.587142944335938,572989200.0,AAPL,13499000.0,7874000.0,5625000.0,1220000.0,0.0,426000.0,3979000.0,0.0,50000.0,955000.0,3074000.0,0.11896,0.11896,25840000.0,25840000.0,10018000.0,13137000.0,13137000.0,4629000.0,638000.0,3914000.0,32336000.0,3504000.0,3241000.0,18549000.0,480000.0,343000.0,823000.0,1845000.0,24721000.0,5569000.0,57057000.0,5666000.0,0.0,0.0,2542000.0,5332000.0,12229000.0,0.0,941000.0,1142000.0,2239000.0,5480000.0,2239000.0,17709000.0,9553000.0,29670000.0,125000.0,0.0,39348000.0,57057000.0,216000.0,468000.0,436000.0,-1662000.0,482000.0,-18000.0,20107000.0,234000.0,2330000.0,-650000.0,-325000.0,-9000.0,-16388000.0,-83000.0,1164000.0,534000.0,160000.0,0.0,10169000.0,162000.0,0.0,2409000.0,10018000.0,7609000.0,4245000.0,2029000.0,203069699.52,213087699.52,1.52275541795666,47.8373850459364,0.0785216718266254,15.7854433306171,69.3193557319454,5.41546456033343,105.02104461311,0.0144259852019824,12.3416927899687,2.6442063946357,0.45006099420555,0.314468,15.7854433306171,0.227721,0.0,0.0,0.0546644378845538,0.0781234116092305,0.0898768626751138,0.008772362887443451,0.0,8.532500076293946,,8.878107166290283,BUY,5.0,42.66250038146973,0.0,0.0
5,2010-04-09,7.284331321716309,8.635356903076172,8.63892936706543,8.587857246398926,8.6225004196167,334182800.0,AAPL,13499000.0,7874000.0,5625000.0,1220000.0,0.0,426000.0,3979000.0,0.0,50000.0,955000.0,3074000.0,0.11896,0.11896,25840000.0,25840000.0,10018000.0,13137000.0,13137000.0,4629000.0,638000.0,3914000.0,32336000.0,3504000.0,3241000.0,18549000.0,480000.0,343000.0,823000.0,1845000.0,24721000.0,5569000.0,57057000.0,5666000.0,0.0,0.0,2542000.0,5332000.0,12229000.0,0.0,941000.0,1142000.0,2239000.0,5480000.0,2239000.0,17709000.0,9553000.0,29670000.0,125000.0,0.0,39348000.0,57057000.0,216000.0,468000.0,436000.0,-1662000.0,482000.0,-18000.0,20107000.0,234000.0,2330000.0,-650000.0,-325000.0,-9000.0,-16388000.0,-83000.0,1164000.0,534000.0,160000.0,0.0,10169000.0,162000.0,0.0,2409000.0,10018000.0,7609000.0,4245000.0,2029000.0,203069699.52,213087699.52,1.52275541795666,47.8373850459364,0.0785216718266254,15.7854433306171,69.3193557319454,5.41546456033343,105.02104461311,0.0144259852019824,12.3416927899687,2.6442063946357,0.45006099420555,0.314468,15.7854433306171,0.227721,0.0,0.0,0.0546644378845538,0.0781234116092305,0.0898768626751138,0.012718803639572996,0.0,8.54964288075765,,8.981821441650391,BUY,6.0,51.2978572845459,0.0,0.0
6,2010-04-12,7.299395084381103,8.653214454650879,8.681071281433105,8.63607120513916,8.649999618530273,333026400.0,AAPL,13499000.0,7874000.0,5625000.0,1220000.0,0.0,426000.0,3979000.0,0.0,50000.0,955000.0,3074000.0,0.11896,0.11896,25840000.0,25840000.0,10018000.0,13137000.0,13137000.0,4629000.0,638000.0,3914000.0,32336000.0,3504000.0,3241000.0,18549000.0,480000.0,343000.0,823000.0,1845000.0,24721000.0,5569000.0,57057000.0,5666000.0,0.0,0.0,2542000.0,5332000.0,12229000.0,0.0,941000.0,1142000.0,2239000.0,5480000.0,2239000.0,17709000.0,9553000.0,29670000.0,125000.0,0.0,39348000.0,57057000.0,216000.0,468000.0,436000.0,-1662000.0,482000.0,-18000.0,20107000.0,234000.0,2330000.0,-650000.0,-325000.0,-9000.0,-16388000.0,-83000.0,1164000.0,534000.0,160000.0,0.0,10169000.0,162000.0,0.0,2409000.0,10018000.0,7609000.0,4245000.0,2029000.0,203069699.52,213087699.52,1.52275541795666,47.8373850459364,0.0785216718266254,15.7854433306171,69.3193557319454,5.41546456033343,105.02104461311,0.0144259852019824,12.3416927899687,2.6442063946357,0.45006099420555,0.314468,15.7854433306171,0.227721,0.0,0.0,0.0546644378845538,0.0781234116092305,0.0898768626751138,0.013791237144400236,0.0,8.564438819885254,,9.078999996185303,BUY,7.0,59.95107173919678,0.0,0.0
7,2010-04-13,7.303612232208252,8.65821361541748,8.671428680419922,8.61107063293457,8.637857437133789,306210800.0,AAPL,13499000.0,7874000.0,5625000.0,1220000.0,0.0,426000.0,3979000.0,0.0,50000.0,955000.0,3074000.0,0.11896,0.11896,25840000.0,25840000.0,10018000.0,13137000.0,13137000.0,4629000.0,638000.0,3914000.0,32336000.0,3504000.0,3241000.0,18549000.0,480000.0,343000.0,823000.0,1845000.0,24721000.0,5569000.0,57057000.0,5666000.0,0.0,0.0,2542000.0,5332000.0,12229000.0,0.0,941000.0,1142000.0,2239000.0,5480000.0,2239000.0,17709000.0,9553000.0,29670000.0,125000.0,0.0,39348000.0,57057000.0,216000.0,468000.0,436000.0,-1662000.0,482000.0,-18000.0,20107000.0,234000.0,2330000.0,-650000.0,-325000.0,-9000.0,-16388000.0,-83000.0,1164000.0,534000.0,160000.0,0.0,10169000.0,162000.0,0.0,2409000.0,10018000.0,7609000.0,4245000.0,2029000.0,203069699.52,213087699.52,1.52275541795666,47.8373850459364,0.0785216718266254,15.7854433306171,69.3193557319454,5.41546456033343,105.02104461311,0.0144259852019824,12.3416927899687,2.6442063946357,0.45006099420555,0.314468,15.7854433306171,0.227721,0.0,0.0,0.0546644378845538,0.0781234116092305,0.0898768626751138,0.014091461252934517,0.0,8.576160669326782,,9.149035739898682,BUY,8.0,68.60928535461426,0.0,0.0
8,2010-04-14,7.401825428009033,8.774642944335938,8.778928756713867,8.71678638458252,8.760000228881836,404076400.0,AAPL,13499000.0,7874000.0,5625000.0,1220000.0,0.0,426000.0,3979000.0,0.0,50000.0,955000.0,3074000.0,0.11896,0.11896,25840000.0,25840000.0,10018000.0,13137000.0,13137000.0,4629000.0,638000.0,3914000.0,32336000.0,3504000.0,3241000.0,18549000.0,480000.0,343000.0,823000.0,1845000.0,24721000.0,5569000.0,57057000.0,5666000.0,0.0,0.0,2542000.0,5332000.0,12229000.0,0.0,941000.0,1142000.0,2239000.0,5480000.0,2239000.0,17709000.0,9553000.0,29670000.0,125000.0,0.0,39348000.0,57057000.0,216000.0,468000.0,436000.0,-1662000.0,482000.0,-18000.0,20107000.0,234000.0,2330000.0,-650000.0,-325000.0,-9000.0,-16388000.0,-83000.0,1164000.0,534000.0,160000.0,0.0,10169000.0,162000.0,0.0,2409000.0,10018000.0,7609000.0,4245000.0,2029000.0,203069699.52,213087699.52,1.52275541795666,47.8373850459364,0.0785216718266254,15.7854433306171,69.3193557319454,5.41546456033343,105.02104461311,0.0144259852019824,12.3416927899687,2.6442063946357,0.45006099420555,0.314468,15.7854433306171,0.227721,0.0,0.0,0.0546644378845538,0.0781234116092305,0.0898768626751138,0.021083613158773423,0.0,8.598214255438911,,9.205857181549073,BUY,9.0,77.3839282989502,0.0,0.0
9,2010-04-15,7.499131202697754,8.890000343322754,8.893928527832031,8.768214225769043,8.777856826782227,376784800.0,AAPL,13499000.0,7874000.0,5625000.0,1220000.0,0.0,426000.0,3979000.0,0.0,50000.0,955000.0,3074000.0,0.11896,0.11896,25840000.0,25840000.0,10018000.0,13137000.0,13137000.0,4629000.0,638000.0,3914000.0,32336000.0,3504000.0,3241000.0,18549000.0,480000.0,343000.0,823000.0,1845000.0,24721000.0,5569000.0,57057000.0,5666000.0,0.0,0.0,2542000.0,5332000.0,12229000.0,0.0,941000.0,1142000.0,2239000.0,5480000.0,2239000.0,17709000.0,9553000.0,29670000.0,125000.0,0.0,39348000.0,57057000.0,216000.0,468000.0,436000.0,-1662000.0,482000.0,-18000.0,20107000.0,234000.0,2330000.0,-650000.0,-325000.0,-9000.0,-16388000.0,-83000.0,1164000.0,534000.0,160000.0,0.0,10169000.0,162000.0,0.0,2409000.0,10018000.0,7609000.0,4245000.0,2029000.0,203069699.52,213087699.52,1.52275541795666,47.8373850459364,0.0785216718266254,15.7854433306171,69.3193557319454,5.41546456033343,105.02104461311,0.0144259852019824,12.3416927899687,2.6442063946357,0.45006099420555,0.314468,15.7854433306171,0.227721,0.0,0.0,0.0546644378845538,0.0781234116092305,0.0898768626751138,0.02801139041791402,0.0,8.627392864227295,8.627392864227295,9.276285743713379,BUY,10.0,86.27392864227295,0.0,0.0
